date,day,off,id,item_id,name,price,high,low,open,time,updated_at
1393-01-01,Fri,0,4338529,137203,price_dollar_rl,30170,30200,30100,30100,2014-03-20 00:00:00,2014-03-20 12:00:00
1393-01-02,Sat,0,4338572,137203,price_dollar_rl,30270,30270,30250,30250,2014-03-23 00:00:00,2014-03-23 12:00:00
1393-01-03,Sun,0,4338572,137203,price_dollar_rl,30270,30270,30250,30250,2014-03-23 00:00:00,2014-03-23 12:00:00
1393-01-04,Mon,0,4338591,137203,price_dollar_rl,30180,30250,30180,30250,2014-03-24 00:00:00,2014-03-24 12:00:00
1393-01-05,Tue,0,4338610,137203,price_dollar_rl,30300,30300,30200,30200,2014-03-25 00:00:00,2014-03-25 12:00:00
1393-01-06,Wed,0,4338632,137203,price_dollar_rl,30500,30530,30350,30400,2014-03-26 00:00:00,2014-03-26 12:00:00
1393-01-07,Thu,0,4338651,137203,price_dollar_rl,30580,30690,30560,30560,2014-03-27 00:00:00,2014-03-27 12:00:00
1393-01-08,Fri,0,4338673,137203,price_dollar_rl,30570,30570,30570,30570,2014-03-28 00:00:00,2014-03-28 12:00:00
1393-01-09,Sat,0,4338681,137203,price_dollar_rl,30470,30550,30460,30550,2014-03-29 00:00:00,2014-03-29 12:00:00
1393-01-10,Sun,0,4338703,137203,price_dollar_rl,30490,30500,30410,30480,2014-03-30 00:00:00,2014-03-30 12:00:00
1393-01-11,Mon,0,4338722,137203,price_dollar_rl,30640,30650,30500,30500,2014-03-31 00:00:00,2014-03-31 12:00:00
1393-01-12,Tue,0,4338743,137203,price_dollar_rl,30630,30640,30600,30630,2014-04-01 00:00:00,2014-04-01 12:00:00
1393-01-13,Wed,0,4338743,137203,price_dollar_rl,30630,30640,30600,30630,2014-04-01 00:00:00,2014-04-01 12:00:00
1393-01-14,Thu,0,4338779,137203,price_dollar_rl,30610,30610,30610,30610,2014-04-03 00:00:00,2014-04-03 12:00:00
1393-01-15,Fri,0,4338779,137203,price_dollar_rl,30610,30610,30610,30610,2014-04-03 00:00:00,2014-04-03 12:00:00
1393-01-16,Sat,0,4338806,137203,price_dollar_rl,30480,30580,30450,30570,2014-04-05 00:00:00,2014-04-05 12:00:00
1393-01-17,Sun,0,4338827,137203,price_dollar_rl,30430,30490,30260,30490,2014-04-06 00:00:00,2014-04-06 12:00:00
1393-01-18,Mon,0,4338847,137203,price_dollar_rl,30580,30650,30370,30410,2014-04-07 00:00:00,2014-04-07 12:00:00
1393-01-19,Tue,0,4338869,137203,price_dollar_rl,30900,30900,30540,30570,2014-04-08 00:00:00,2014-04-08 12:00:00
